Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
M&S Collection,Cotton Rich Floral Pyjama Set,https://www.marksandspencer.com/cotton-rich-floral-pyjama-set/p/clp60617614#intid=pid_pg2pip48g2r15c1,4.59,T371348J,22,22,22,0,,"Top - 92% cotton, 8% elastane (exclusive of trimmings), Bottom - 100% cotton"
M&S Collection,Dream Satin™ Star Print Pyjama Set,https://www.marksandspencer.com/dream-satin-star-print-pyjama-set/p/clp60624331#intid=pid_pg2pip48g2r15c2,5,T371403J,1,28,28,0,,100% polyester
M&S Collection,Pure Cotton Broderie Trim Long Nightdress,https://www.marksandspencer.com/broderie-trim-long-nightdress/p/clp60517240#intid=pid_pg2pip48g2r16c1,4.45,T376134N,532,18,18,0,,100% cotton (exclusive of trimmings)
M&S Collection,Cotton Rich Checked Pyjama Set,https://www.marksandspencer.com/cotton-rich-checked-pyjama-set/p/clp60619024#intid=pid_pg2pip48g2r16c2,4.71,T371362J,7,22,22,0,,"Top - 92% cotton, 8% elastane (exclusive of trimmings), Bottom - 100% cotton"
M&S Collection,Pure Cotton Floral Pyjama Set,https://www.marksandspencer.com/pure-cotton-floral-pyjama-set/p/clp60571907#intid=pid_pg2pip48g2r17c1,4.81,T374508F,32,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Floral Pyjama Set,https://www.marksandspencer.com/pure-cotton-floral-pyjama-set/p/clp60620410#intid=pid_pg2pip48g2r17c2,4.91,T374560F,23,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Checked Pyjama Set,https://www.marksandspencer.com/pure-cotton-checked-pyjama-set/p/clp60618024#intid=pid_pg2pip48g2r18c1,4.63,T374554F,27,15,15,0,,100% cotton (exclusive of trimmings)
Seasalt Cornwall,Fleece Floral Long Dressing Gown,https://www.marksandspencer.com/fleece-floral-long-dressing-gown/p/clp23001244#intid=pid_pg2pip48g2r18c2,0,T838776,,59.95,59.95,0,,100% recycled polyester
M&S Collection,Pure Cotton Star Print Pyjama Set,https://www.marksandspencer.com/pure-cotton-star-print-pyjama-set/p/clp60620401#intid=pid_pg2pip48g2r19c1,4.6,T374567F,20,15,15,0,,100% cotton (exclusive of trimmings)
Seasalt Cornwall,Fleece Floral Long Dressing Gown,https://www.marksandspencer.com/fleece-floral-long-dressing-gown/p/clp23001215#intid=pid_pg2pip48g2r19c2,0,T838771,,59.95,59.95,0,,100% recycled polyester
Cyberjammies,Modal Rich Cuffed Hem Pyjama Bottoms,https://www.marksandspencer.com/modal-rich-cuffed-hem-pyjama-bottoms/p/clp23000573#intid=pid_pg2pip48g2r20c1,0,T838497,,26,26,0,,"95% modal, 5% elastane"
Cyberjammies,Pure Cotton Checked Short Nightshirt,https://www.marksandspencer.com/pure-cotton-checked-short-nightshirt/p/clp23001068#intid=pid_pg2pip48g2r20c2,0,T838508,,32,32,0,,100% cotton
M&S Collection,Cosy Lounge Waffle Joggers,https://www.marksandspencer.com/cosy-lounge-waffle-joggers/p/clp60617304#intid=pid_pg2pip48g2r21c1,5,T371640P,3,18,18,0,,"52% viscose, 47% polyester and 1% elastane (exclusive of trimmings)"
M&S Collection,Waffle Wide Leg Pyjama Bottoms,https://www.marksandspencer.com/waffle-wide-leg-pyjama-bottoms/p/clp60617296#intid=pid_pg2pip48g2r21c2,4.67,T371639P,3,18,18,0,,"52% viscose, 47% polyester and 1% elastane (exclusive of trimmings)"
Body,Cotton Modal Star Print Pyjama Set,https://www.marksandspencer.com/cotton-modal-star-print-pyjama-set/p/clp60617638#intid=pid_pg2pip48g2r22c1,3.67,T371360J,15,18,18,0,,"50% cotton, 50% modal (exclusive of trimmings)"
M&S Collection,Fleece Star Print Lounge Hoodie,https://www.marksandspencer.com/fleece-star-print-lounge-hoodie/p/clp60613201#intid=pid_pg2pip48g2r22c2,5,T372465G,1,22,22,0,,100% polyester (exclusive of trimmings)
